Afghanistan,36369
Albania,4997
Algeria,28589
Andorra,917
Angola,968
Antigua and Barbuda,90
Argentina,172306
Armenia,37463
Australia,15671
Austria,20644
Azerbaijan,30842
Bahamas,422
Bahrain,39833
Bangladesh,228997
Barbados,110
Belarus,67370
Belgium,66830
Belize,48
Benin,1770
Bhutan,103
Bolivia,72933
Bosnia and Herzegovina,11229
Botswana,792
Brazil,2465659
Brunei,141
Bulgaria,10815
Burkina Faso,1114
Burma,350
Burundi,395
Cabo Verde,2349
Cambodia,227
Cameroon,17512
Canada,117140
Central African Republic,4599
Chad,929
Chile,350056
China,86996
Colombia,273407
Comoros,354
Congo (Brazzaville),3362
Congo (Kinshasa),8857
Costa Rica,16453
Cote d'Ivoire,15714
Croatia,4905
Cuba,2569
Cyprus,1063
Czechia,15708
Denmark,13870
Djibouti,5068
Dominica,18
Dominican Republic,65404
Ecuador,81628
Egypt,92902
El Salvador,15440
Equatorial Guinea,3071
Eritrea,267
Estonia,2034
Eswatini,2425
Ethiopia,15126
Fiji,27
Finland,7403
France,222903
Gabon,7394
Gambia,375
Georgia,1143
Germany,207557
Ghana,34279
Greece,4261
Greenland,15
Grenada,23
Guatemala,45565
Guinea,7102
Guinea-Bissau,1954
Guyana,408
Haiti,7365
Holy See,12
Honduras,40206
Hungary,4461
Iceland,1861
India,1524530
Indonesia,101828
Iran,296040
Iraq,115138
Ireland,25903
Israel,66014
Italy,246454
Jamaica,864
Japan,31736
Jordan,1184
Kazakhstan,86174
Kenya,18347
Kosovo,7909
Kuwait,64985
Kyrgyzstan,33779
Laos,20
Latvia,1219
Lebanon,4014
Lesotho,505
Liberia,1172
Libya,2985
Liechtenstein,86
Lithuania,2030
Luxembourg,6370
Madagascar,10085
Malawi,3688
Malaysia,8911
Maldives,3436
Mali,2516
Malta,702
Mauritania,6245
Mauritius,344
Mexico,400462
Moldova,23274
Monaco,116
Mongolia,290
Montenegro,2987
Morocco,21496
Mozambique,1733
Namibia,1911
Nepal,18891
Netherlands,53832
New Zealand,1558
Nicaragua,3439
Niger,1132
Nigeria,41828
North Macedonia,10340
Norway,9147
Oman,78111
Pakistan,275465
Panama,62588
Papua New Guinea,62
Paraguay,4652
Peru,403473
Philippines,83632
Poland,43739
Portugal,50434
Qatar,109889
Romania,47006
Russia,822287
Rwanda,1937
Saint Kitts and Nevis,17
Saint Lucia,24
Saint Vincent and the Grenadines,52
San Marino,699
Sao Tome and Principe,867
Saudi Arabia,270927
Senegal,9847
Serbia,24552
Seychelles,114
Sierra Leone,1783
Singapore,51307
Slovakia,2183
Slovenia,2092
Somalia,3214
South Africa,459625
South Korea,14231
South Sudan,2348
Spain,272421
Sri Lanka,2828
Sudan,11463
Suriname,1527
Sweden,79793
Switzerland,34542
Syria,698
Taiwan*,466
Tajikistan,7278
Tanzania,509
Thailand,3303
Timor-Leste,24
Togo,880
Trinidad and Tobago,149
Tunisia,1458
Turkey,227938
US,4346595
Uganda,1141
Ukraine,67931
United Arab Emirates,59441
United Kingdom,302396
Uruguay,1212
Uzbekistan,21887
Venezuela,16513
Vietnam,442
West Bank and Gaza,10773
Western Sahara,10
Yemen,1701
Zambia,4623
Zimbabwe,2896
